contact_id,company_id,garden_id,name,title,business_email,email_status,business_phone,source_url,verified_date,estate_relationship_confirmed,public_business_contact,suppressed,owner_approved,notes
goodricke-head-office,gs-company-goodricke-group-ltd,,Goodricke head office,General enquiries,goodricke@goodricke.com,unverified,+91-33-22873067; +91-33-22878737; +91-33-22871816,https://www.goodricke.com/contact-us,2026-09-02,yes,yes,no,no,Public company contact. Email still needs Snov.io validation before any outreach.
indong-hariram-garg,gs-company-indong-tea-company-limited,gs-dooars-indong,Hariram Garg,Managing Director,indong@asiangroup.in,unverified,+91-33-40063601,https://www.indongteaco.com/investor-information.html,2026-09-02,yes,yes,no,no,Named current managing director on the company investor page. Email still needs Snov.io validation.
indong-estate-office,gs-company-indong-tea-company-limited,gs-dooars-indong,Indong Tea Estate office,Estate office,indongte74@gmail.com,unverified,,https://www.indongteaco.com/contact-us.html,2026-09-02,yes,yes,no,no,Public estate contact. Email still needs Snov.io validation.
andrew-yule-tea-business,gs-company-andrew-yule-and-company-limited,,Shantanu Boral,Dy. General Manager SCM and Tea Operations,gm.tea@andrewyule.com,unverified,+91-33-22428210,https://www.andrewyule.com/contact.php,2026-09-02,yes,yes,no,no,Public current tea-division business contact. Email still needs Snov.io validation.
mcleod-russel-hr,gs-company-mcleod-russel-india-ltd,,Saneer Gurung,Head HR and Administration,saneer.gurung@mcleodrussel.com,unverified,+91-33-22101221,https://www.mcleodrussel.com/business/our-operations.aspx,2026-09-02,yes,yes,no,no,Public current company contact. Confirm responsibility for the two Dooars estates and validate email before outreach.
diana-tea-head-office,gs-company-diana-tea-company-limited,,Diana Tea head office,General enquiries,contactus@dianatea.in,unverified,+91-33-22488672; +91-33-40661590,https://www.dianatea.in/contact-us.php,2026-09-02,yes,yes,no,no,Public company contact. Email still needs Snov.io validation before any outreach.
gillanders-vijay-kumar,gs-company-gillanders-arbuthnot-and-co-limited,,Vijay Kumar,Head of Tea Division,kumar.vijay@gillandersarbuthnot.com,unverified,+91-33-22302331,https://www.gillandersarbuthnot.com/tea-division/,2026-09-02,yes,yes,no,no,Public head-office tea division business contact. Email still needs Snov.io validation before any outreach.
rydak-corporate-office,gs-company-rydak-syndicate-limited,,Rydak head office,Corporate enquiries,contact@rydaksyndicate.com,unverified,+91-33-22304351,https://www.rydaksyndicate.com/tea-estates/,2026-09-02,yes,yes,no,no,Public company contact. Email still needs Snov.io validation before any outreach.
octavius-head-office,gs-company-octavius-tea-and-industries-ltd,,Octavius head office,Corporate enquiries,info@octavius.in,unverified,+91-9313530035,https://www.octavius.in,2026-09-02,yes,yes,no,no,Public company contact. Email still needs Snov.io validation before any outreach.
appl-corporate-office,gs-company-amalgamated-plantations-pvt-ltd,,APPL corporate office,Corporate enquiries,appl@amalgamated.in,unverified,+91-33-22830841,https://www.amalgamatedplantations.co.in,2026-09-02,yes,yes,no,no,Public company contact. Email still needs Snov.io validation before any outreach.
