estate,account_status,email,email_type,association_confidence,mail_domain_mx,email_verification_status,source_url,source_checked_date,notes
"Bhergaon Tea Estate","Pilot candidate","bhergaonte@gmail.com","Estate or owner office","Medium","Present","Not run in Snov","https://foodtestingweb.wordpress.com/about/","2026-08-17","Historical Tea Board directory association. Verify current routing before use."
"Bhergaon Tea Estate","Pilot candidate","bhergaonteaestate@gmail.com","Unknown estate mailbox","Low","Present","Not run in Snov","Local master workbook","2026-08-17","Present in the master data without a reliable estate association. Keep only as an alternate."
"Green View Tea Estate","Pilot candidate","lakhtokia@gmail.com","Owner office","Medium","Present","Not run in Snov","https://foodtestingweb.wordpress.com/about/","2026-08-17","Historical directory record carries the same public phone as the master row. Confirm it still handles Green View."
"Dalowjan Tea Estate","Pilot candidate","dalowjanteacompany@gmail.com","Company mailbox","High","Present","Not run in Snov","https://www.tofler.in/dalowjan-tea-co-pvt-ltd/company/U01132AS1922PTC000277","2026-08-17","Current company profile and a second MCA-derived directory agree on this address."
"Devendra Tea Estate","Pilot candidate - phone route","","No reliable email found","","","Not applicable","https://www.commerce.gov.in/wp-content/uploads/2022/02/1251_merged.pdf","2026-08-17","Use the existing public phone to ask for the current manager or office email. Do not guess an address."
"Kamarband Tea Estate","Pilot candidate - phone route","","No reliable email found","","","Not applicable","https://foodtestingweb.wordpress.com/about/","2026-08-17","Public ownership records conflict with the older directory contact. Use the public phone for entity confirmation and an email referral."
"Radhabari Tea Estate","Pilot candidate","pramodmodi0020@gmail.com","Company-filed director contact","Medium","Present","Not run in Snov","https://www.instafinancials.com/company/radhabari-tea-co-pvt-ltd-U01132AS1936PTC000459/company-overview","2026-08-17","Recent company-directory mirrors agree on this address and identify Pramod Kumar Modi as a director. Confirm business use before outreach."
"Radhabari Tea Estate","Pilot candidate","mkbardoloi@gmail.com","Older company filing contact","Low","Present","Not run in Snov","https://cleartax.in/f/company/radhabari-tea-co-pvt-ltd/U01132AS1936PTC000459/","2026-08-17","Older conflicting company contact. Keep as an alternate only."
"Sonarie Tea Estate","Pilot candidate","sonarie.tea@gmail.com","Company mailbox","High","Present","Not run in Snov","https://www.tofler.in/sonarie-tea-co-pvt-ltd/company/U15491AS1993PTC003891","2026-08-17","Current company profile identifies this address and the estate company."
"Sotai Tea Estate","Pilot candidate","sotaiteaco@rediffmail.com","Company mailbox","High","Present","Not run in Snov","https://www.tofler.in/sotai-tea-co-pvt-ltd/company/U01132AS1987PTC002704","2026-08-17","Current company profile and historical directory agree. Confirm the mailbox is still monitored."
"Maijonga Tea Estate","Reserve - group check","info@threeleavesgroup.com","Official group inbox","High","Present","Not run in Snov","https://threeleavesgroup.com/tea-gardens/","2026-08-17","Official group site lists Maijonga and publishes this group inbox. Identify an operations decision-maker before outreach."
"Tirual Tea Estate","Hold - connected tea-company network","tirual.bjb@gmail.com","Company mailbox","High","Present","Not run in Snov","https://www.tofler.in/tirual-bortimon-tea-estates-private-limited/company/U01132AS1973PTC001444","2026-08-17","Address is current, but company-network research shows several connected tea businesses. Recheck account fit before use."
"Korangani Tea Estate","Hold - prominent packaged brand","sales@koranganitea.com","Official sales inbox","High","Present","Not run in Snov","https://www.koranganitea.com/contact","2026-08-17","Official website contact. The company is a prominent packaged tea brand, so it is not a first-choice pilot account."
"Korangani Tea Estate","Hold - prominent packaged brand","koranganiteaco@gmail.com","Company filing mailbox","Medium","Present","Not run in Snov","https://www.tofler.in/korangani-tea-company-private-limited/company/U74920AS1999PTC005665","2026-08-17","Company-filed address. Prefer the official domain inbox if this account is later approved."
"Diksam Tea Estate","Hold - entity and ownership conflict","corporate@sahariagroup.com","Group corporate inbox","Medium","Present","Not run in Snov","https://www.tofler.in/diksam-tea-co-pvt-ltd/company/U01132AS1964PTC001234","2026-08-17","Current company profile has this address, but public sources conflict on the estate owner and operator. Do not contact until resolved."
"Ethelwold Tea Estate","Hold - multi-estate network","etkoloffice@gmail.com","Company office","High","Present","Not run in Snov","https://www.tofler.in/ethelwold-estate-pvt-ltd/company/U15491WB1947PTC015132","2026-08-17","Current company profile. Research shows two gardens and several connected estate companies, so it is outside the first-choice pilot."
"Ethelwold Tea Estate","Hold - multi-estate network","ethelwoldte@gmail.com","Estate mailbox","Medium","Present","Not run in Snov","https://www.sgs.com/en-in/-/media/sgscorp/Documents/Corporate/Brochures/SGS-India-Organic-Certified-Client-List.cdn.en-in.pdf","2026-08-17","Publicly associated with the estate in an SGS client list. Keep as an alternate."
"Dinjoye Tea Estate","Exclude - large connected group","admin@jalanindustries.com","Group company inbox","High","Present","Not run in Snov","https://www.indiafilings.com/search/dinjoye-tea-estate-pvt-ltd-cin-U01132AS1943PTC000572","2026-08-17","Current company filing contact, but the estate is part of a much larger connected tea and investment network."
"Boloma Tea Estate","Pilot candidate - replacement signal","","No reliable email found","","","Not applicable","https://rdgteapac.wordpress.com/tea-software-clients/","2026-08-17","Teapac publicly lists Boloma as a user. Keep it for replacement qualification. Verify present use, system age, modules, support experience and willingness to review alternatives."
