state,name,type,is_blf,company,district,scale_hectares,decision_maker,phone,phone_raw,is_mobile,email,hq_city,hq_address,status,tier,tech_score,score_signals,disqualification_reason,primary_channel,available_channels,engagement_hook
West Bengal,AIBHEEL TEA GARDEN,Organized Estate,No,GOODRICKE GROUP LIMITED,Jalpaiguri,827.8,MR.A.N.SINGH,033 2287 3067,033 2287 3067,No,aib@goodricke.com,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",Disqualified,Disqualified,0,Custom domain (@goodricke.com) | Large enterprise acreage (827.8 Ha) | Kolkata HQ,Conglomerate keyword match (GOODRICKE),1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar A.N.Singh-ji,

When green leaf trucks move from field divisions to the factory at Aibheel Tea Garden, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,ANANDAPUR TEA ESTATE,Organized Estate,No,NEW CHUMTA TEA CO. LTD,Jalpaiguri,402.2,MR. H.K.SHARMA,9800882719,098008 82719,Yes,anandapurteaestate@yahoo.com,Kolkata,"New Chumta Tea, New Chumta Tea garden PO - New Chumta PS - Matigara, Siliguri, West Bengal 734009",Disqualified,Disqualified,5,Consumer/ISP email (@yahoo.com) | Kolkata HQ,Public limited company,WhatsApp / Phone,WhatsApp / Call + 1-Page Postal Dispatch + Email,"Namaskar H.K.Sharma-ji,

When green leaf trucks move from field divisions to the factory at Anandapur Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,BAGRACOTE TEA GARDEN,Organized Estate,No,DUNCANS INDUSTRIES LIMITED,Jalpaiguri,488.9,MR. G.P. GOENKA,033 2242 1605,033 2242 1605,No,bagtg@duncan.tea.co.in,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",Disqualified,Disqualified,2,Custom domain (@duncan.tea.co.in) | Kolkata HQ,Conglomerate keyword match (DUNCANS),1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar G.P.-ji,

When green leaf trucks move from field divisions to the factory at Bagracote Tea Garden, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,BAINTGOORIE TEA ESTATE,Organized Estate,No,DIANA TEA CO. LTD.,Jalpaiguri,657.9,MR.SANDEEP KUMER SINGHANIA,033 2248 8672,033 2248 8672,No,senguptaaloke@rediffmail.com,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",Disqualified,Disqualified,3,Consumer/ISP email (@rediffmail.com) | Large enterprise acreage (657.9 Ha) | Kolkata HQ,Conglomerate keyword match (DIANA TEA),1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar Sandeep-ji,

When green leaf trucks move from field divisions to the factory at Baintgoorie Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,BATABARI,Organized Estate,No,AMALGAMATED PLANTATIONS,Jalpaiguri,299.6,DEEPAK ATAL,0361 234 0037,0361 234 0037,No,deepak.atal@amalgamated.in,Assam,"Amalgamated Plantations Guwahati, GS Rd, Ananda Nagar, Christian Basti, Guwahati, Assam 781005",Disqualified,Disqualified,4,Custom domain (@amalgamated.in) | Mid-tier acreage sweet spot (299.6 Ha),Conglomerate keyword match (AMALGAMATED PLANTATIONS),1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar Deepak-ji,

When green leaf trucks move from field divisions to the factory at Batabari, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,CHALOUNI,Organized Estate,No,GOODRICKE GROUP LIMITED,Jalpaiguri,562.9,MR. ARUN SINGH,033 2287 3067,033 2287 3067,No,chalouni@goodricke.com,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",Disqualified,Disqualified,0,Custom domain (@goodricke.com) | Large enterprise acreage (562.9 Ha) | Kolkata HQ,Conglomerate keyword match (GOODRICKE),1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar Arun-ji,

When green leaf trucks move from field divisions to the factory at Chalouni, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,CHHAOPHALI TEA ESTATE,Organized Estate,No,DUTTA AGRO PLANTATION PVT LTD,Jalpaiguri,35.2,SANJOY DUTTA,9733149174,9733149174,Yes,,Siliguri,"Dutta Agro Products Pvt Ltd., Kalna Rd, Gargeswar, Bardhaman, Jabui, West Bengal 713146",Qualified,Tier 2 (Qualified Independent),6,No email listed (paper-dominant) | Small holding (35.2 Ha) | Siliguri HQ (local operating hub),,WhatsApp / Phone,WhatsApp / Call + 1-Page Postal Dispatch,"Namaskar Sanjoy-ji,

When green leaf trucks move from field divisions to the factory at Chhaophali Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,CHULSA TEA ESTATE,Organized Estate,No,GOODRICKE GROUP LIMITED,Jalpaiguri,442.6,MR.A.N.SINGH,033 2287 3067,033 2287 3067,No,chulsa@goodricke.com,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",Disqualified,Disqualified,2,Custom domain (@goodricke.com) | Kolkata HQ,Conglomerate keyword match (GOODRICKE),1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar A.N.Singh-ji,

When green leaf trucks move from field divisions to the factory at Chulsa Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,DAGAPUR,Organized Estate,No,SUBLIME AGRO LTD.,Jalpaiguri,194.8,SUBLIME AGRO LTD.,0353-2511305,0353-2511305,No,sublimeagro@gmail.com,Kolkata,"Surobhi Agro Industries Pvt Ltd, Anwesha, opposite lahari dance institute, aam tala shiv than, Fartabad, Garia, Rajpur Sonarpur, West Bengal 700084",Disqualified,Disqualified,8,Consumer/ISP email (@gmail.com) | Mid-tier acreage sweet spot (194.8 Ha) | Kolkata HQ,Public limited company,1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar Sublime-ji,

When green leaf trucks move from field divisions to the factory at Dagapur, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
West Bengal,ELLENBARRIE TEA ESTATE,Organized Estate,No,THE ELLENBARRIE TEA CO.LTD. SHANTI PROSAD AGARWALLA,Jalpaiguri,229.5,746 BLOCK'P'NEW,033 2229 1923,033 2229 1923,No,shanti.agarwala@ellenbarrie.co,Kolkata,"The Ellenbarrie Tea Co Limited, 3a, Ripon St, Block K, Taltala, Kolkata, West Bengal 700014",Disqualified,Disqualified,5,Custom domain (@ellenbarrie.co) | Mid-tier acreage sweet spot (229.5 Ha) | Kolkata HQ,Public limited company,1-Page Postal Letter,1-Page Postal Dispatch + Email,"Namaskar 746-ji,

When green leaf trucks move from field divisions to the factory at Ellenbarrie Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Jalpaiguri tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
