company_id,company_name,domain,source_url,notes
gs-company-goodricke-group-ltd,Goodricke Group Limited,goodricke.com,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-indong-tea-company-limited,Indong Tea Company Limited,indongteaco.com,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-andrew-yule-and-company-limited,Andrew Yule & Company Limited,andrewyule.com,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-mcleod-russel-india-ltd,Mcleod Russel India Limited,mcleodrussel.com,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-diana-tea-company-limited,Diana Tea Company Limited,dianatea.in,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-gillanders-arbuthnot-and-co-limited,Gillanders Arbuthnot & Co. Limited,gillandersarbuthnot.com,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-rydak-syndicate-limited,Rydak Syndicate Limited,rydaksyndicate.com,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-octavius-tea-and-industries-ltd,Octavius Tea & Industries Limited,octavius.in,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
gs-company-amalgamated-plantations-pvt-ltd,Amalgamated Plantations Private Limited,amalgamatedplantations.co.in,registry companies.csv,"Domain recorded in the registry. Large-group companies are included for contact-page evidence, not as prospects."
,Terai Tea Group (Siliguri HQ),teraigroup.com,http://www.teraigroup.com/,Lead found via public search. Registry links teraitea@gmail.com to Jaldacca Altadanga and Raja. Confirm garden ownership from site evidence before use.
