state,name,type,is_blf,company,district,scale_hectares,decision_maker,phone,phone_raw,is_mobile,email,hq_city,hq_address,status,tier,tech_score,score_signals,disqualification_reason,primary_channel,available_channels,engagement_hook
Assam,FATEMABAD TEA ESTATE,Organized Estate,No,FATEMABAD TEA ESTATE,Baksa,Organized Plantation,,,,No,,Baksa,"Baksa, Assam",Uncertain / Backlog,Tier 3,2,No email listed (paper-dominant),Low signal density,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Fatemabad Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Baksa tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,MENOKA TEA ESTATE,Organized Estate,No,MENOKA TEA ESTATE,Baksa,Organized Plantation,,,,No,,Baksa,"Baksa, Assam",Uncertain / Backlog,Tier 3,2,No email listed (paper-dominant),Low signal density,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Menoka Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Baksa tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,BEHALI TEA ESTATE,Organized Estate,No,McLeod Russel India Limited,Biswanath,Organized Plantation,,,,No,,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",Disqualified,Disqualified,3,No email listed (paper-dominant) | Kolkata HQ,Conglomerate keyword match (MCLEOD RUSSEL),1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Behali Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,BORGAON T.E,Organized Estate,No,BORGAON T.E,Biswanath,Organized Plantation,,,,No,,Biswanath,"Biswanath, Assam",Uncertain / Backlog,Tier 3,2,No email listed (paper-dominant),Low signal density,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Borgaon T.E, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,DHULLIE TEA ESTATE,Organized Estate,No,McLeod Russel India Limited,Biswanath,Organized Plantation,,,,No,,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",Disqualified,Disqualified,3,No email listed (paper-dominant) | Kolkata HQ,Conglomerate keyword match (MCLEOD RUSSEL),1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Dhullie Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,KETTELA TEA ESTATE,Organized Estate,No,KETTELA TEA ESTATE,Biswanath,Organized Plantation,,,,No,,Biswanath,"Biswanath, Assam",Uncertain / Backlog,Tier 3,2,No email listed (paper-dominant),Low signal density,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Kettela Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,MAJULIGHUR,Organized Estate,No,Amalgamated Plantations Private Limited (Tata),Biswanath,Organized Plantation,,,,No,,Guwahati,"1st Floor, GS Road, Christian Basti, Guwahati, Assam 781005",Disqualified,Disqualified,3,No email listed (paper-dominant) | Guwahati HQ,Conglomerate keyword match (AMALGAMATED PLANTATIONS),1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Majulighur, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,MAHALUXMI TEA ESTATE,Organized Estate,No,MAHALUXMI TEA ESTATE,Biswanath,Organized Plantation,,,,No,,Biswanath,"Biswanath, Assam",Disqualified,Disqualified,2,No email listed (paper-dominant),Conglomerate keyword match (LUXMI TEA),1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Mahaluxmi Tea Estate, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,GINGIA,Organized Estate,No,GINGIA,Biswanath,Organized Plantation,,,,No,,Biswanath,"Biswanath, Assam",Uncertain / Backlog,Tier 3,2,No email listed (paper-dominant),Low signal density,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Gingia, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
Assam,HALEM,Organized Estate,No,McLeod Russel India Limited,Biswanath,Organized Plantation,,,,No,,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",Disqualified,Disqualified,3,No email listed (paper-dominant) | Kolkata HQ,Conglomerate keyword match (MCLEOD RUSSEL),1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

When green leaf trucks move from field divisions to the factory at Halem, what percentage difference are you typically seeing between the field scale and factory weighbridge?

Most independent estates in Biswanath tell us they only catch leaf discrepancies and proxy hazira 10 to 14 days later when the fortnightly muster roll reaches the office.

Are you able to see your daily leaf reconciliation and worker count on your phone before the evening shift, or is your team still compiling it on paper?"
