candidate_id,url,title,publisher,published_date,retrieved_date,language,garden_id,canonical_name,matched_alias,event_types,supports_active_candidate,supports_inactive_candidate,collection_method,confidence,excerpt,notes
news-1-birpara,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-birpara,Birpara,Birpara,reopening|closure,yes,yes,http,medium,"mandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Alipurduar, which reopened recently, are still listed as closed. Similarly, Samsing, Kumlai, Manabari, and Bamandanga in Jalpaiguri, operational for years,",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-kumlai,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-kumlai,Kumlai,Kumlai,closure|operating,yes,yes,http,medium,"ed reactions from tea workers’ unions and industry representatives. The Centre’s report, uploaded on Parliament’s digital portal, lists Manabari, Raipur, Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raim",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-lankapara,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-lankapara,Lankapara,Lankapara,reopening|closure,yes,yes,http,medium,"ing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Alipurduar, which reopened recently, are still listed as closed. Similarly, Samsing, Kumlai, Manabari, and Bamandanga in Jalpaiguri, operational for years, are misrepresented. Nakul Sonar",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-madhu,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-madhu,Madhu,Madhu,reopening|closure,yes,yes,http,medium," Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Alipurduar, which reopened recently, are still listed as closed. Similarly, Samsing, Kumlai, Manabari, and Bamandanga in Jalpaiguri, operational",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-rahimabad,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-rahimabad,Rahimabad,Rahimabad,reopening|closure,yes,yes,http,medium," Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Alipurduar, which reopened recently, are still listed as closed. Similarly, Samsing, Kumlai, Manabari, and Bamandanga in Jalpaiguri, operational for years, are misr",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-raipur,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-raipur,Raipur,Raipur,closure|operating,yes,yes,http,medium,"rently shut. The mismatch has sparked reactions from tea workers’ unions and industry representatives. The Centre’s report, uploaded on Parliament’s digital portal, lists Manabari, Raipur, Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-samsing,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-samsing,Samsing,Samsing,closure|operating,yes,yes,http,medium,"s from tea workers’ unions and industry representatives. The Centre’s report, uploaded on Parliament’s digital portal, lists Manabari, Raipur, Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Al",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-sonali,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-sonali,Sonali,Sonali,closure|operating,yes,yes,http,medium,"hut. The mismatch has sparked reactions from tea workers’ unions and industry representatives. The Centre’s report, uploaded on Parliament’s digital portal, lists Manabari, Raipur, Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-manabarie,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-manabarie,Manabarie,Manabari,closure|operating,yes,yes,http,medium,"ar are currently shut. The mismatch has sparked reactions from tea workers’ unions and industry representatives. The Centre’s report, uploaded on Parliament’s digital portal, lists Manabari, Raipur, Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, t",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-bamandanga-tondoo,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga,closure|operating,yes,yes,http,medium," mismatch has sparked reactions from tea workers’ unions and industry representatives. The Centre’s report, uploaded on Parliament’s digital portal, lists Manabari, Raipur, Sonali, Bamandanga, Tandu, Kumlai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-dalsingpara,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-dalsingpara,Dalsingpara,Dalsingpara,reopening|closure,yes,yes,http,medium,"wever, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Alipurduar, which reopened recently, are still listed as closed. Similarly, Samsing, Kumlai, Manabari, and Bamandanga in Jalpaiguri, operational for years, are misrepresented. Nakul Sonar, chairman of the Trinamool Cha",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
news-1-dheklapara,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Tea industry reacts to Centre’s ‘misleading’ data on closed gardens,Millennium Post,2025-02-18,2026-09-01,English,gs-dooars-dheklapara,Dheklapara,Dheklapara,reopening|closure,yes,yes,http,medium,"lai and Samsing as closed in Jalpaiguri. However, only Sonali and Raipur remain shut, as per local authorities. In Alipurduar, the report states that Madhu, Joy Birpara, Rahimabad, Dheklapara, Lankapara, Raimatang, Dalmore, Dalsingpara, Kalchini and Ramjhora are closed, whereas only Ramjhora, Lankapara and Dheklapara remain non-operational. Adding to the controversy, tea gardens such as Dalmore, Kalchini and Raimatang in Alipurduar, which reopened recently, are still listed as closed. Similarly, Samsing, Kumlai, Manabari, and Bamandanga in Jalpaiguri, operational for years, are misrepresented.",Closure-count disagreement. Use as a lead only and prefer cited official garden-level records.
