state,name,type,is_blf,company,district,scale_hectares,decision_maker,phone,phone_raw,is_mobile,email,hq_city,hq_address,status,tier,tech_score,score_signals,disqualification_reason,primary_channel,available_channels,engagement_hook
West Bengal,ARYAN TEA PLANTATIONS PVT. LTD. ARYAN TEA PLANTATIONS PVT. LTD.,Bought Leaf Factory (BLF),Yes,ARYAN TEA PLANTATIONS PVT. LTD. ARYAN TEA PLANTATIONS PVT. LTD.,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Aryan Tea Plantations, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,Ltd. B N Bhowmick Tea Processing Pvt. Ltd.,Bought Leaf Factory (BLF),Yes,Ltd. B N Bhowmick Tea Processing Pvt. Ltd.,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at B N Bhowmick Tea Processing, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,BAIKUNTHPUR TEA MFG CO PVT LTD BHATURBARI,Bought Leaf Factory (BLF),Yes,BAIKUNTHPUR TEA MFG CO PVT LTD BHATURBARI,Darjeeling,BLF Processing,,,,No,,Siliguri,"Darjeeling, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Baikunthpur Tea Mfg Co Pvt Ltd Bhaturbari, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Darjeeling, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,BROJENDRA PLANTATION PVT LTD BROJENDRA PLANTATION PVT LTD,Bought Leaf Factory (BLF),Yes,BROJENDRA PLANTATION PVT LTD BROJENDRA PLANTATION PVT LTD,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Brojendra Plantation, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,CACHAR KING PLANTATIONS PVT. LTD. CACHAR KING BLF & STG,Bought Leaf Factory (BLF),Yes,CACHAR KING PLANTATIONS PVT. LTD. CACHAR KING BLF & STG,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Cachar King Plantations Pvt. Ltd. Cachar King Blf & Stg, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,DARSHANANAND HOLDINGS PVT.LIMITED BAJRANG TEA FACTORY,Bought Leaf Factory (BLF),Yes,DARSHANANAND HOLDINGS PVT.LIMITED BAJRANG TEA FACTORY,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Darshananand Holdings Pvt.Limited Bajrang Tea Factory, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,DASPARA TEA ESTATE PVT.LTD DASPARA TEA ESTATE PVT.LTD,Bought Leaf Factory (BLF),Yes,DASPARA TEA ESTATE PVT.LTD DASPARA TEA ESTATE PVT.LTD,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Daspara Tea Estate, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,ESSEL FUNDS MANAGEMENT PVT LTD ESSEL FUNDS MANAGEMENT PVT LTD,Bought Leaf Factory (BLF),Yes,ESSEL FUNDS MANAGEMENT PVT LTD ESSEL FUNDS MANAGEMENT PVT LTD,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Essel Funds Management, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,EVERGREEN DOOARS TEA PVT LTD EVERGREEN DOOARS TEA PVT LTD,Bought Leaf Factory (BLF),Yes,EVERGREEN DOOARS TEA PVT LTD EVERGREEN DOOARS TEA PVT LTD,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Evergreen Dooars Tea, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
West Bengal,GOPE TEA PLANTATION PVT LTD GOPE TEA ESTATE,Bought Leaf Factory (BLF),Yes,GOPE TEA PLANTATION PVT LTD GOPE TEA ESTATE,Jalpaiguri,BLF Processing,,,,No,,Siliguri,"Jalpaiguri, West Bengal",Qualified,Tier 1 (High Leakage / Paper Priority),10,No email listed (paper-dominant) | Bought Leaf Factory (daily small-grower leaf friction) | Siliguri HQ (local operating hub),,1-Page Postal Letter,1-Page Postal Dispatch,"Namaskar,

During peak leaf intake at Gope Tea Plantation Pvt Ltd Gope Tea Estate, how does your weighbridge team handle small grower disputes over tare weight and moisture or coarse leaf deductions?

In Jalpaiguri, several BLF owners we know were losing 15 to 20 minutes per vehicle because deductions were still handwritten or keyed manually into a local computer slip.

Does your weighing scale push verified net leaf weights directly to the grower slip and your ledger without manual re-entry?"
